subdomain,listing_url,status,total_jobs,error
loa.avature.net,https://loa.avature.net/careers/SearchJobs,working,999,
mantech.avature.net,https://mantech.avature.net/careers/SearchJobs,working,557,
mgl.avature.net,https://mgl.avature.net/careers/SearchJobs,working,503,
ea.avature.net,https://ea.avature.net/careers/SearchJobs,working,492,
deloittece.avature.net,https://deloittece.avature.net/careers/SearchJobs,working,468,
mercadona.avature.net,https://mercadona.avature.net/careers/SearchJobs,working,341,
cdcn.avature.net,https://cdcn.avature.net/careers/SearchJobs,working,228,
fb.avature.net,https://fb.avature.net/careers/SearchJobs,working,183,
bmcrecruit.avature.net,https://bmcrecruit.avature.net/careers/SearchJobs,working,110,
amswh.avature.net,https://amswh.avature.net/careers/SearchJobs,working,83,
baloise.avature.net,https://baloise.avature.net/careers/SearchJobs,working,61,
lindner.avature.net,https://lindner.avature.net/careers/SearchJobs,working,10,
lol.avature.net,https://lol.avature.net/careers/SearchJobs,working,10,
encompasshealth.avature.net,https://encompasshealth.avature.net/careers/SearchJobs,working,1,
laplanduk.avature.net,https://laplanduk.avature.net/careers/SearchJobs,working,1,
boozallen.avature.net,https://boozallen.avature.net/careers/SearchJobs,working,,
epic.avature.net,https://epic.avature.net/careers/SearchJobs,working,,
genpact.avature.net,https://genpact.avature.net/careers/SearchJobs,working,,
acn.avature.net,https://acn.avature.net/careers/SearchJobs,blocked,,Rate limited after 3 retries
adidas.avature.net,https://adidas.avature.net/careers/SearchJobs,blocked,,Rate limited after 3 retries
advocateaurorahealth.avature.net,https://advocateaurorahealth.avature.net/careers/SearchJobs,blocked,,Rate limited after 3 retries
ameren.avature.net,https://ameren.avature.net/careers/SearchJobs,blocked,,Rate limited after 3 retries
americangreetings.avature.net,https://americangreetings.avature.net/careers/SearchJobs,blocked,,Rate limited after 3 retries
amsmarriott.avature.net,https://amsmarriott.avature.net/careers/SearchJobs,not_working,,Page not found
apple.avature.net,https://apple.avature.net/careers/SearchJobs,not_working,,Page not found
appleasia.avature.net,https://appleasia.avature.net/careers/SearchJobs,not_working,,Page not found
applecorp.avature.net,https://applecorp.avature.net/careers/SearchJobs,not_working,,Page not found
